epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2383.15,1.16988,2.09632,1.17344,0.42713,0.76571,0.41314,0.27051,0.42263,14.8323,0.41747,0.00333084,0.00333084,0.00333084
2,4016.08,1.25804,1.38547,1.19112,0.4251,0.59517,0.36355,0.22509,0.4641,3.84552,0.46342,0.00653223,0.00653223,0.00653223
3,5659.5,1.3886,1.39125,1.27591,0.42145,0.61877,0.36098,0.21459,0.47735,2.23133,0.4819,0.00960161,0.00960161,0.00960161
4,7284.85,1.4257,1.38282,1.32149,0.4185,0.72514,0.40462,0.26581,0.42732,2.61454,0.46289,0.009406,0.009406,0.009406
5,8911.06,1.32833,1.19942,1.2721,0.41435,0.75497,0.40881,0.26891,0.41889,1.40177,0.45722,0.009208,0.009208,0.009208
6,10532.2,1.26768,1.11107,1.24736,0.41301,0.78307,0.41511,0.28351,0.40305,1.4404,0.44222,0.00901,0.00901,0.00901
7,12142.1,1.20568,1.02466,1.21155,0.4226,0.84105,0.43738,0.30491,0.38579,3.05052,0.42309,0.008812,0.008812,0.008812
8,13775.2,1.18213,0.98938,1.20012,0.43641,0.82935,0.43106,0.30881,0.36476,0.95537,0.41866,0.008614,0.008614,0.008614
9,15445.1,1.15845,0.94571,1.18585,0.43193,0.8331,0.43522,0.312,0.3667,2.61521,0.41258,0.008416,0.008416,0.008416
10,17064.4,1.14775,0.94003,1.1819,0.42393,0.87784,0.44336,0.3204,0.35911,1.17879,0.40655,0.008218,0.008218,0.008218
11,18662.9,1.11255,0.89879,1.16685,0.43511,0.85014,0.4448,0.32293,0.34317,1.08414,0.40576,0.00802,0.00802,0.00802
12,20246.4,1.10143,0.88465,1.16726,0.42916,0.87141,0.43758,0.32527,0.33862,0.91757,0.39745,0.007822,0.007822,0.007822
13,21817.9,1.09253,0.85237,1.16009,0.43586,0.87145,0.45158,0.33384,0.33754,0.82406,0.39673,0.007624,0.007624,0.007624
14,23372.1,1.07794,0.85272,1.15766,0.43859,0.84872,0.4532,0.34137,0.32815,0.81759,0.39122,0.007426,0.007426,0.007426
15,24933.9,1.05348,0.81993,1.14171,0.43428,0.87997,0.44677,0.33953,0.32138,0.81526,0.39169,0.007228,0.007228,0.007228
16,26490.6,1.05526,0.80904,1.1395,0.43534,0.88281,0.44081,0.33497,0.32056,0.8221,0.39033,0.00703,0.00703,0.00703
17,28065.9,1.03802,0.78709,1.13776,0.44312,0.85619,0.44616,0.33882,0.31379,0.8019,0.38912,0.006832,0.006832,0.006832
18,29664.6,1.0256,0.79636,1.1261,0.43347,0.89134,0.44504,0.34034,0.30965,0.8228,0.38268,0.006634,0.006634,0.006634
19,31265.8,1.01092,0.76706,1.1175,0.44439,0.85795,0.45336,0.34917,0.30629,0.79027,0.38423,0.006436,0.006436,0.006436
20,32888.3,1.00947,0.75381,1.13011,0.44516,0.85582,0.45014,0.34856,0.30317,0.77244,0.38142,0.006238,0.006238,0.006238
21,34512.7,0.99652,0.75352,1.11695,0.4424,0.87287,0.44955,0.34595,0.30266,0.75836,0.38146,0.00604,0.00604,0.00604
22,36609.2,1.00119,0.74344,1.12047,0.44034,0.88636,0.45222,0.35391,0.29529,0.75804,0.37654,0.005842,0.005842,0.005842
23,38808.3,0.98039,0.72471,1.1075,0.44188,0.88991,0.44755,0.35066,0.29169,0.76289,0.37343,0.005644,0.005644,0.005644
24,40555.4,0.96777,0.73009,1.10131,0.442,0.89226,0.45362,0.35673,0.28908,0.77663,0.3695,0.005446,0.005446,0.005446
